TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1553501399154	186.595428	-31.299938	-31.592968	0.998191	0.016594	-0.011680	-0.056593	img_0_0_1553501399722568200.png;img_1_1_1553501399729671300.png
1553501399547	188.294220	-30.306978	-31.495979	0.998290	0.002597	-0.013572	-0.056799	img_0_0_1553501400113535700.png;img_1_1_1553501400122209600.png
1553501399985	190.214539	-29.198444	-31.276348	0.998255	0.008546	-0.014049	-0.056713	img_0_0_1553501400559917700.png;img_1_1_1553501400567858500.png
1553501400417	192.137238	-28.094872	-30.948765	0.998273	0.009566	-0.012097	-0.056681	img_0_0_1553501400995428900.png;img_1_1_1553501401003473400.png
1553501400801	193.865616	-27.094292	-30.571405	0.998244	0.012540	-0.011941	-0.056641	img_0_0_1553501401381040000.png;img_1_1_1553501401388812700.png
1553501401197	195.665588	-26.038618	-30.114687	0.998272	0.011756	-0.010374	-0.056632	img_0_0_1553501401776310200.png;img_1_1_1553501401784297500.png
1553501401623	197.617035	-24.877167	-29.591955	0.998354	0.003637	-0.007913	-0.056687	img_0_0_1553501402201267800.png;img_1_1_1553501402210485900.png
1553501402019	199.439819	-23.791550	-29.088030	0.998334	0.004076	-0.010002	-0.056688	img_0_0_1553501402599236700.png;img_1_1_1553501402608189100.png
1553501402472	201.538239	-22.548620	-28.517326	0.998366	0.002793	-0.006700	-0.056689	img_0_0_1553501403053305700.png;img_1_1_1553501403062943400.png
1553501402895	203.501541	-21.390196	-28.008198	0.998378	0.001426	-0.005040	-0.056694	img_0_0_1553501403475771500.png;img_1_1_1553501403485396500.png
1553501403246	205.128403	-20.434488	-27.604206	0.998364	0.001506	-0.007240	-0.056692	img_0_0_1553501403828380900.png;img_1_1_1553501403836542500.png
1553501403615	206.840988	-19.435627	-27.208841	0.998375	0.001015	-0.005676	-0.056695	img_0_0_1553501404198639700.png;img_1_1_1553501404205810200.png
1553501403981	208.538620	-18.451342	-26.869417	0.998385	-0.000073	-0.003560	-0.056700	img_0_0_1553501404564483400.png;img_1_1_1553501404570943700.png
1553501404362	210.298950	-17.435448	-26.589384	0.998390	-0.000060	-0.001231	-0.056701	img_0_0_1553501404946470000.png;img_1_1_1553501404953541300.png
1553501404725	211.963715	-16.475554	-26.389502	0.998390	-0.000093	-0.001661	-0.056701	img_0_0_1553501405307902000.png;img_1_1_1553501405315005900.png
1553501405094	213.642578	-15.507559	-26.251146	0.998391	-0.000022	-0.000395	-0.056701	img_0_0_1553501405675900600.png;img_1_1_1553501405683994900.png
1553501405421	215.119553	-14.656244	-26.164124	0.998366	-0.000406	-0.007156	-0.056700	img_0_0_1553501406005612300.png;img_1_1_1553501406011653900.png
1553501405763	216.664413	-13.773542	-26.038523	0.998349	-0.000522	-0.009187	-0.056699	img_0_0_1553501406346805000.png;img_1_1_1553501406353268100.png
1553501406135	218.351883	-12.822964	-25.875948	0.998347	-0.000533	-0.009391	-0.056699	img_0_0_1553501406717478100.png;img_1_1_1553501406725816900.png
1553501406519	220.102448	-11.852122	-25.686796	0.998326	-0.000648	-0.011407	-0.056697	img_0_0_1553501407101337900.png;img_1_1_1553501407109417100.png
1553501406876	221.740860	-10.959177	-25.494663	0.998298	-0.000545	-0.010342	-0.057399	img_0_0_1553501407460928200.png;img_1_1_1553501407469148500.png
1553501407296	223.677841	-9.919871	-25.294266	0.998314	-0.000300	-0.005248	-0.057806	img_0_0_1553501407879866200.png;img_1_1_1553501407888594700.png
1553501407677	225.431976	-8.986204	-25.169113	0.998316	-0.000226	-0.003915	-0.057882	img_0_0_1553501408262757600.png;img_1_1_1553501408270742700.png
1553501408073	227.248444	-8.024417	-25.094767	0.998311	-0.000277	-0.004783	-0.057900	img_0_0_1553501408657485100.png;img_1_1_1553501408666774000.png
1553501408460	229.019073	-7.093095	-25.076265	0.998315	-0.000226	-0.003892	-0.057904	img_0_0_1553501409048620200.png;img_1_1_1553501409055642600.png
1553501408874	230.906891	-6.105897	-25.122684	0.998313	-0.000252	-0.004350	-0.057904	img_0_0_1553501409461155900.png;img_1_1_1553501409468598900.png
1553501409259	232.651611	-5.198365	-25.231256	0.998313	-0.000200	-0.004378	-0.057904	img_0_0_1553501409845165300.png;img_1_1_1553501409853280400.png
1553501409601	234.201279	-4.396579	-25.379290	0.998311	-0.000273	-0.004801	-0.057904	img_0_0_1553501410187848800.png;img_1_1_1553501410196438700.png
1553501410009	236.046509	-3.448298	-25.614149	0.998310	-0.000281	-0.004844	-0.057904	img_0_0_1553501410596391400.png;img_1_1_1553501410605527700.png
1553501410507	238.294434	-2.302896	-25.977106	0.998308	-0.000310	-0.005348	-0.057904	img_0_0_1553501411099700400.png;img_1_1_1553501411107522000.png
1553501410882	239.985458	-1.449197	-26.274258	0.998298	-0.000399	-0.006882	-0.057904	img_0_0_1553501411476366100.png;img_1_1_1553501411483222300.png
1553501411227	241.541931	-0.670620	-26.555456	0.998300	-0.000386	-0.006656	-0.057904	img_0_0_1553501411819395000.png;img_1_1_1553501411826087400.png
1553501411581	243.140457	0.121554	-26.851341	0.998297	-0.000300	-0.005956	-0.058035	img_0_0_1553501412174756200.png;img_1_1_1553501412182740100.png
1553501411944	244.779846	0.927071	-27.149405	0.998286	-0.000309	-0.005365	-0.058277	img_0_0_1553501412536892800.png;img_1_1_1553501412543444300.png
1553501412313	246.443787	1.739190	-27.419502	0.998285	-0.000285	-0.004889	-0.058337	img_0_0_1553501412936703800.png;img_1_1_1553501412943785600.png
1553501412697	248.171738	2.577351	-27.666447	0.998284	-0.000283	-0.004850	-0.058352	img_0_0_1553501413321249200.png;img_1_1_1553501413328182800.png
1553501413066	249.828522	3.376179	-27.873121	0.998282	-0.000311	-0.005317	-0.058355	img_0_0_1553501413687884700.png;img_1_1_1553501413695882000.png
1553501413435	251.482559	4.168520	-28.052921	0.998279	-0.000335	-0.005739	-0.058355	img_0_0_1553501414056866700.png;img_1_1_1553501414064332400.png
1553501413807	253.149612	4.960588	-28.210674	0.998271	-0.000409	-0.006992	-0.058355	img_0_0_1553501414423478900.png;img_1_1_1553501414436931700.png
1553501414182	254.832382	5.752025	-28.345617	0.998269	-0.000338	-0.006650	-0.058433	img_0_0_1553501414806336700.png;img_1_1_1553501414814505700.png
1553501414569	256.571106	6.561546	-28.461493	0.998258	-0.000327	-0.005652	-0.058724	img_0_0_1553501415192481300.png;img_1_1_1553501415200085500.png
1553501414923	258.160736	7.295962	-28.549025	0.998251	0.002382	-0.005849	-0.058772	img_0_0_1553501415548898100.png;img_1_1_1553501415555730600.png
1553501415289	259.802643	8.056472	-28.622549	0.998241	0.005799	-0.005424	-0.058761	img_0_0_1553501415913329800.png;img_1_1_1553501415920246200.png
1553501415643	261.390533	8.802415	-28.678329	0.998160	0.014986	-0.002402	-0.058702	img_0_0_1553501416268913200.png;img_1_1_1553501416275741300.png
1553501415988	262.932190	9.554891	-28.717911	0.998139	0.016572	-0.001122	-0.058681	img_0_0_1553501416613441200.png;img_1_1_1553501416620382300.png
1553501416360	264.584656	10.403453	-28.744055	0.998192	0.012997	-0.000776	-0.058684	img_0_0_1553501416982504100.png;img_1_1_1553501416991626000.png
1553501416720	266.172455	11.251168	-28.755636	0.998256	0.003968	0.000488	-0.058904	img_0_0_1553501417346178300.png;img_1_1_1553501417351972700.png
1553501417107	267.862244	12.168880	-28.758411	0.998135	0.000386	0.000487	-0.061045	img_0_0_1553501417731635200.png;img_1_1_1553501417738676700.png
1553501417446	269.327240	12.968981	-28.752720	0.998093	0.000040	0.000049	-0.061735	img_0_0_1553501418072191400.png;img_1_1_1553501418077908900.png
1553501417818	270.920410	13.841279	-28.734640	0.998081	0.000003	0.000004	-0.061928	img_0_0_1553501418442318600.png;img_1_1_1553501418452845700.png
